rank,id,name,category,parameter_count_b,persian_accuracy_estimation,notes
24,chandra_ocr_2,Chandra OCR 2,document_vlm,4.0,79.0,param corrected 5B->4B per official release
25,qianfan_ocr,Qianfan-OCR,document_vlm,4.0,84.0,param corrected 5B->4B per official card
26,qwen3_vl_8b_instruct,Qwen3-VL-8B-Instruct,general_vlm_control,8.0,75.0,
27,paddleocr_vl_0_9b,PaddleOCR-VL-0.9B,document_vlm_pipeline,0.9,87.0,
28,paddleocr_ppocrv4,PaddleOCR PP-OCRv4,classical_ocr,0.003,75.0,
29,surya_ocr_1,Surya OCR 1,document_vlm_pipeline,0.3,74.0,
30,qwen2.5_vl_72b,Qwen2.5-VL 72B,general_vlm_control,72.0,80.0,
31,qwen2.5_vl_7b,Qwen2.5-VL 7B,general_vlm_control,7.0,74.0,
32,qwen2.5_vl_3b,Qwen2.5-VL 3B,general_vlm_control,3.0,65.0,
33,internvl3_8b,InternVL3 8B,general_vlm_control,8.0,64.0,
34,internvl3_2b,InternVL3 2B,general_vlm_control,2.0,52.0,
35,internvl2.5_8b,InternVL2.5 8B,general_vlm_control,8.0,58.0,
36,florence_2_large,Florence-2 Large,general_vlm_control,0.77,16.0,
37,florence_2_base,Florence-2 Base,general_vlm_control,0.23,10.0,
38,minicpm_o_2_6,MiniCPM-o 2.6,general_vlm_control,8.0,62.0,
39,minicpm_v_2_6,MiniCPM-V 2.6,general_vlm_control,8.0,64.0,
40,molmo_7b,Molmo 7B,general_vlm_control,7.0,18.0,
41,ovisocr2,OvisOCR2,document_vlm,0.8,60.0,
42,nemotron_ocr_v2_multilingual,Nemotron OCR v2 Multilingual,document_vlm,0.0839,5.0,param corrected 7B->~83.9M; official lang list excludes Persian
43,granite_docling,Granite Docling,document_vlm_pipeline,0.258,32.0,param corrected 2B->258M per official card
44,marker,Marker,classical_ocr,,79.0,
45,doctr,DocTR,traditional_neural_ocr,,8.0,
46,trocr_large,TrOCR Large,line_recognizer,0.3,1.0,
47,trocr_base,TrOCR Base,line_recognizer,0.2,1.0,
48,donut_large,Donut Large,document_vlm,0.2,3.0,no official generic Donut Large checkpoint found; row unverified
49,donut_base,Donut Base,document_vlm,0.1,2.0,
50,layoutlmv3,LayoutLMv3,document_vlm,0.4,0.0,
51,layoutxlm,LayoutXLM,document_vlm,0.4,0.0,
52,docformer,DocFormer,document_vlm,0.2,0.0,
53,pix2struct,Pix2Struct,document_vlm,1.0,8.0,
54,udop,UDOP,document_vlm,0.5,5.0,
55,nougat,Nougat,document_vlm,0.2,1.0,
56,deepseek_vl2,DeepSeek-VL2,general_vlm_control,7.0,40.0,
57,smolvlm,SmolVLM,general_vlm_control,0.5,8.0,
58,kraken_ocr,Kraken OCR,classical_ocr,,86.0,
59,calamari_ocr,Calamari OCR,classical_ocr,,12.0,
60,mmocr,MMOCR,classical_ocr,,10.0,
61,keras_ocr,Keras-OCR,classical_ocr,,2.0,
62,ocropus,OCRopus,classical_ocr,,1.0,
63,parseq,PARSeq,line_recognizer,0.025,1.0,
64,abinet,ABINet,line_recognizer,0.025,1.0,
65,svtr,SVTR,line_recognizer,0.01,1.0,
66,olmocr_2,OlmOCR-2,document_vlm,7.0,52.0,param set ~7B per official olmOCR-2 VLM
67,nemotron_parse_1_1,Nemotron-Parse 1.1,document_vlm,0.885,45.0,param corrected 0.5B->~885M per official card
68,docling_ibm,Docling (IBM),document_vlm_pipeline,,81.0,
69,qwen2.5_vl_32b,Qwen2.5-VL 32B,general_vlm_control,32.0,78.0,
70,crnn_base_fa_v1,CRNN-base-fa-v1,line_recognizer,0.01,84.0,
71,nanonets_ocr_3,Nanonets OCR-3,commercial_ocr,,90.0,
72,mistral_ocr,Mistral OCR,commercial_ocr,,90.0,
73,google_document_ai,Google Document AI,commercial_ocr,,91.0,
74,amazon_textract,Amazon Textract,commercial_ocr,,5.0,
75,azure_ai_document_intelligence,Azure AI Document Intelligence,commercial_ocr,,92.0,
76,abbyy_finereader,ABBYY FineReader,commercial_ocr,,88.0,
77,llamaparse,LlamaParse,commercial_ocr,,87.0,
78,mathpix,Mathpix,commercial_ocr,,60.0,
79,pymupdf4llm,PyMuPDF (with PyMuPDF4LLM),document_model,,50.0,
80,hmm_persian_ocr,HMM-Persian-OCR,research,,65.0,
81,persian_handwritten_text_recognition,Persian-Handwritten-Text-Recognition,research,,82.0,exact project could not be uniquely identified; row unverified
82,persian_digits_ocr,Persian-digits-ocr,research,,96.0,
